census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04013420209,145,13,4405000,98,34
04013420210,96,3,1175000,80,13
04013420211,105,7,3825000,93,5
04013420212,83,10,4060000,61,12
04013420213,1,0,0,1,0
04013420214,104,18,5370000,64,22
04013420215,62,5,2255000,49,8
04013420216,101,5,2195000,78,18
04013420301,40,2,1030000,37,1
04013420302,84,2,1150000,81,1
04013420303,63,4,1630000,51,8
04013420304,18,0,0,18,0
04013420401,66,0,0,63,3
04013420402,71,9,5695000,58,4
04013420503,39,2,1410000,28,9
04013420504,70,2,840000,56,12
04013420505,34,1,795000,28,5
04013420506,31,3,1135000,22,6
04013420602,101,5,2085000,82,14
04013420603,56,2,930000,47,7
04013420604,84,1,535000,78,5
04013420704,72,4,2000000,60,8
04013420705,55,5,2615000,48,2
04013420706,92,3,2295000,80,9
04013420707,22,2,620000,15,5
04013420708,11,0,0,10,1
04013420709,16,0,0,16,0
04013420710,44,2,730000,35,7
04013420800,72,4,2030000,58,10
04013420901,49,4,2120000,38,7
04013420902,74,3,935000,50,21
04013421001,44,3,785000,37,4
04013421002,44,6,1710000,31,7
04013421101,47,0,0,38,9
04013421102,69,2,750000,58,9
04013421201,71,5,1345000,52,14
04013421202,76,5,1745000,57,14
04013421302,62,2,650000,48,12
04013421303,61,5,1295000,44,11
04013421400,15,0,0,11,4
04013421501,30,0,0,24,6
04013421502,52,1,365000,45,6
04013421601,48,1,365000,35,12
04013421602,25,1,255000,18,6
04013421701,72,3,985000,53,16
04013421702,41,2,520000,27,12
04013421801,47,3,1015000,38,6
04013421802,35,1,685000,22,12
04013421901,34,2,850000,25,7
04013421902,53,2,700000,41,10
04013422001,31,1,345000,23,7
04013422002,28,0,0,21,7
04013422102,102,2,870000,94,6
04013422103,20,0,0,16,4
04013422104,72,7,2195000,51,14
04013422105,44,0,0,37,7
04013422106,24,1,255000,20,3
04013422107,30,2,480000,21,7
04013422203,52,8,2450000,38,6
04013422209,98,7,2725000,76,15
04013422210,125,12,5540000,95,18
04013422211,55,1,575000,49,5
04013422212,94,5,2415000,79,10
04013422213,60,2,830000,54,4
04013422215,34,2,730000,24,8
04013422216,97,1,405000,81,15
04013422217,100,7,2475000,83,10
04013422218,58,2,870000,47,9
04013422219,71,2,780000,54,15
04013422220,48,4,1360000,41,3
04013422221,68,4,1520000,56,8
04013422222,58,3,1145000,49,6
04013422223,45,2,1040000,33,10
04013422227,38,2,940000,34,2
04013422301,66,3,1315000,47,16
04013422302,82,2,1070000,66,14
04013422304,23,1,305000,18,4
04013422305,117,5,2065000,102,10
04013422307,56,6,3400000,43,7
04013422308,98,3,1155000,82,13
04013422309,107,7,3305000,92,8
04013422401,59,6,2290000,44,9
04013422402,69,2,620000,63,4
04013422403,85,4,2190000,67,14
04013422404,97,5,3295000,86,6
04013422501,112,2,710000,88,22
04013422502,82,5,2215000,63,14
04013422503,110,4,1420000,78,28
04013422504,59,1,335000,48,10
04013422506,90,3,1565000,79,8
04013422507,73,4,2130000,63,6
04013422508,67,2,870000,56,9
04013422509,95,4,2210000,80,11
04013422510,69,2,1380000,66,1
04013422511,73,4,1920000,63,6
04013422512,134,4,1990000,121,9
