census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
06037433602,9,0,0,9,0
06001432400,33,0,0,32,1
06075013102,17,0,0,17,0
06059032022,73,1,575000,68,4
06065041406,39,3,1675000,29,7
06077003410,60,3,1215000,45,12
06065042210,12,0,0,11,1
06059032064,36,0,0,36,0
06059087403,58,0,0,57,1
06065041407,40,1,535000,28,11
06095253205,36,2,1350000,31,2
06037134302,53,0,0,52,1
06085512515,87,1,1055000,85,1
06037573902,41,0,0,40,1
06085512200,74,1,2025000,69,4
06037212900,5,0,0,5,0
06059087404,13,0,0,13,0
06111001602,28,0,0,27,1
06037300701,74,0,0,74,0
06095253206,59,6,4930000,50,3
06037237500,13,0,0,13,0
06059032065,108,2,1700000,102,4
06065041408,17,0,0,13,4
06075020500,28,0,0,28,0
06085512516,38,3,2275000,34,1
06073012200,34,4,3250000,24,6
06037134303,86,0,0,77,9
06107003401,17,1,515000,13,3
06037141700,72,0,0,69,3
06095253207,30,2,1650000,25,3
06037134304,34,0,0,33,1
06059032066,546,21,17485000,492,33
06065042212,76,1,425000,54,21
06059087405,23,1,765000,17,5
06037300702,90,0,0,88,2
06037134305,2,0,0,2,0
06095253208,38,4,2090000,27,7
06065042213,32,1,655000,26,5
06037554521,43,0,0,38,5
06099002801,69,3,1205000,44,22
06107003402,24,0,0,20,4
06053000200,29,0,0,20,9
06019005701,40,2,800000,32,6
06037134306,31,0,0,27,4
06037554522,55,0,0,53,2
06065042214,150,6,3960000,116,28
06045011102,56,0,0,53,3
06059032027,65,3,1935000,61,1
06099002802,57,2,880000,45,10
06037576200,28,1,675000,25,2
06019005702,78,6,2640000,63,9
06037127711,35,0,0,34,1
06099002803,47,3,1065000,38,6
06071011300,70,3,1535000,59,8
06059032028,59,4,1880000,51,4
06001406700,94,0,0,89,5
06037503103,34,0,0,27,7
06059032029,75,1,425000,70,4
06037127712,16,0,0,15,1
06019005703,90,3,1355000,73,14
06001410100,28,0,0,23,5
06037480400,36,0,0,34,2
06097151403,56,4,2470000,47,5
06037503104,14,1,985000,11,2
06019005704,56,6,2310000,42,8
06097151404,19,0,0,16,3
06013345203,180,1,2005000,177,2
06101051000,19,1,275000,15,3
06065042217,91,6,3880000,80,5
06037189101,12,0,0,12,0
06037185101,22,0,0,19,3
06037503105,35,2,1650000,31,2
06081602201,16,0,0,14,2
06081606201,18,0,0,18,0
06075980600,43,2,1310000,40,1
06013345204,66,0,0,66,0
06097151405,23,0,0,23,0
06037127400,15,0,0,13,2
06037503106,24,0,0,18,6
06037189102,11,0,0,11,0
06081606202,16,1,1205000,14,1
06081602202,7,0,0,7,0
06013345205,46,0,0,46,0
06097151406,25,1,665000,21,3
06037185102,69,0,0,65,4
06077003106,73,2,490000,61,10
06037267700,24,0,0,24,0
06001421500,42,0,0,41,1
06013345206,47,0,0,46,1
06055201700,33,0,0,29,4
06071008710,38,1,185000,31,6
06059110001,58,1,555000,55,2
06085501300,29,1,1005000,27,1
06067003900,47,2,1520000,42,3
06081613600,66,1,1175000,63,2
06053011604,29,0,0,29,0
06037533300,5,0,0,4,1
06071008711,53,2,1520000,47,4
06085505301,25,0,0,25,0
06053011605,53,2,3290000,50,1
06077003108,46,3,835000,33,10
06087122500,28,0,0,24,4
06073005301,18,8,4010000,10,0
06077003109,81,4,1100000,56,21
06037462100,33,1,1145000,29,3
06013392000,43,0,0,40,3
06085509302,30,0,0,30,0
06059110003,43,0,0,39,4
06053011606,44,0,0,44,0
06075021000,34,0,0,34,0
06071008712,77,3,1035000,67,7
06073001301,29,2,1390000,27,0
06073009301,58,2,1460000,54,2
06085505302,45,0,0,45,0
06037621102,49,0,0,48,1
06075017602,14,1,535000,13,0
06085505303,33,0,0,32,1
06037234001,46,0,0,40,6
06059110004,77,2,1990000,71,4
06001436900,41,0,0,40,1
06067007903,67,2,1570000,56,9
06071008713,54,4,2190000,47,3
06073005302,20,3,1455000,16,1
06073001302,26,2,1070000,23,1
06085509303,35,0,0,35,0
06071008714,40,4,1780000,27,9
06019002200,47,2,640000,35,10
06067007904,102,2,1150000,86,14
06037234002,29,0,0,26,3
06085509304,25,0,0,25,0
06037621104,62,1,1575000,60,1
06085505304,30,0,0,29,1
06075017603,138,0,0,138,0
06059110005,57,1,1165000,56,0
06067007905,53,2,1160000,48,3
06083002703,41,2,1070000,31,8
06037404401,32,0,0,26,6
06071008715,128,7,4115000,101,20
06059110006,35,1,1305000,33,1
06075017604,10,0,0,10,0
06013338301,34,0,0,32,2
06037408401,31,1,865000,28,2
